playerId,2022,2021,2020,2019,2018,2017,2016,2015,2014
1739,62.5,125.0,125.0,125.0,0.0,55.0,55.0,55.0,55.0
12086,65.0,5.5,5.5,5.5,5.5,0.0,0.0,0.0,0.0
9785,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10267,3.0,9.5,9.5,9.5,9.5,8.5,0.0,0.0,0.0
1807,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
1828,38.0,38.0,38.0,38.0,1.0,1.0,1.0,4.5,4.5
7906,32.0,32.0,32.0,32.0,8.5,8.5,8.5,8.5,8.5
1836,46.0,110.0,110.0,110.0,110.0,17.0,17.0,17.0,17.0
10738,150.0,90.0,90.0,90.0,90.0,40.0,0.0,0.0,0.0
11631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6326,140.0,30.0,30.0,30.0,30.0,6.0,6.0,6.0,0.0
10213,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8204,32.0,32.0,32.0,32.0,3.5,3.5,0.0,1.0,1.0
8356,30.0,30.0,30.0,30.0,8.5,8.5,8.5,8.5,8.5
1465,0.0,12.0,12.0,12.0,50.0,22.0,22.0,22.0,22.0
13113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10225,40.0,4.0,4.0,4.0,4.0,30.0,0.0,0.0,0.0
3007,0.0,10.0,10.0,10.0,10.0,3.0,0.0,0.0,0.0
8313,87.5,7.5,7.5,0.0,0.0,0.0,7.0,0.0,7.5
12089,2.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
6507,67.5,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
10952,30.0,30.0,30.0,30.0,1.0,1.0,0.0,0.0,0.0
14628,40.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1448,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0
