playerId,match,inning,balls,runs,wicket,best bowling in match,eco,average,5w,10w
8375,79,2,30,30,0,009 / 0,6,0,0,0
11450,7,7,325,240,14,20 / 5,4.43,17.14,1,0
15481,,,,,,,,,,
8190,,,,,,,,,,
9620,,,,,,,,,,
11971,,,,,,,,,,
24291,,,,,,,,,,
13070,,,,,,,,,,
24296,,,,,,,,,,
14889,,,,,,,,,,
8555,,,,,,,,,,
12088,,,,,,,,,,
13216,,,,,,,,,,
8353,,,,,,,,,,
16001,,,,,,,,,,
18867,,,,,,,,,,
9033,,,,,,,,,,
10946,,,,,,,,,,
10486,,,,,,,,,,
9244,,,,,,,,,,
11965,,,,,,,,,,
8351,,,,,,,,,,
7829,,,,,,,,,,
9298,,,,,,,,,,
12335,,,,,,,,,,
13478,,,,,,,,,,
8810,,,,,,,,,,
8996,,,,,,,,,,
11796,,,,,,,,,,
13959,20,20,922,810,26,39 / 5,5.27,31.15,1,0
6304,4,4,206,177,6,43 / 3,5.16,29.5,0,0
14277,,,,,,,,,,
9720,21,21,1111,884,25,25 / 3,4.77,35.36,0,0
10828,1,1,60,55,2,55 / 2,5.5,27.5,0,0
1807,,,,,,,,,,
1597,17,2,36,37,1,19 / 1,6.17,37,0,0
10315,,,,,,,,,,
12314,,,,,,,,,,
15525,,,,,,,,,,
12820,,,,,,,,,,
14702,,,,,,,,,,
9205,,,,,,,,,,
12341,,,,,,,,,,
10949,,,,,,,,,,
11857,,,,,,,,,,
9716,,,,,,,,,,
11312,,,,,,,,,,
8992,,,,,,,,,,
6322,,,,,,,,,,
8548,48,47,2207,2050,67,28 / 5,5.57,30.6,2,0
11077,1,1,24,31,0,31 / 0,7.75,0,0,0
13067,,,,,,,,,,
8107,,,,,,,,,,
10358,,,,,,,,,,
8119,4,4,209,198,10,46 / 4,5.68,19.8,0,0
6642,19,2,42,38,1,18 / 1,5.43,38,0,0
1114,135,76,2441,1942,43,55 / 6,4.77,45.16,1,0
2244,36,3,45,44,1,17 / 1,5.87,44,0,0
8424,,,,,,,,,,
7752,,,,,,,,,,
12951,,,,,,,,,,
8734,,,,,,,,,,
12315,,,,,,,,,,
9783,,,,,,,,,,
10324,,,,,,,,,,
14701,,,,,,,,,,
14964,,,,,,,,,,
12644,,,,,,,,,,
13173,,,,,,,,,,
13170,,,,,,,,,,
10394,7,7,365,279,14,42 / 4,4.59,19.93,0,0
6315,,,,,,,,,,
13172,,,,,,,,,,
10389,13,13,687,508,23,34 / 3,4.44,22.09,0,0
587,168,164,8557,7024,188,36 / 5,4.93,37.36,1,0
265,350,2,36,31,1,14 / 1,5.17,31,0,0
6692,113,105,5116,4481,90,46 / 4,5.26,49.79,0,0
11813,,,,,,,,,,
7736,56,55,2290,2229,70,35 / 4,5.84,31.84,0,0
12926,,,,,,,,,,
10917,2,1,30,28,0,28 / 0,5.6,0,0,0
2276,65,65,3540,2435,92,27 / 6,4.13,26.47,2,0
576,230,38,593,515,8,27 / 2,5.21,64.38,0,0
9311,70,70,3703,2873,113,27 / 5,4.66,25.42,1,0
7915,,,,,,,,,,
657,123,82,2275,2161,55,27 / 3,5.7,39.29,0,0
10744,,,,,,,,,,
12094,,,,,,,,,,
8808,38,35,1908,1409,45,34 / 3,4.43,31.31,0,0
11427,12,12,617,567,22,51 / 4,5.51,25.77,0,0
6326,151,65,1467,1310,37,22 / 4,5.36,35.41,0,0
14628,,,,,,,,,,
19027,,,,,,,,,,
