playerId,basePrice,playerName,country,role,cappedStatus,countryId,isPlayerOverseas,
13983,50.0 L,Gareth Delany,Ireland,Allrounder,CAPPED,27,TRUE,
14175,20.0 L,Arun Chaprana,India,Allrounder,UNCAPPED,2,,
11314,20.0 L,Milind Tandon,India,Bowler,UNCAPPED,2,,
13939,20.0 L,Ajay Dev Goud,India,Allrounder,UNCAPPED,2,,
13485,20.0 L,Divyang Hinganekar,India,Allrounder,UNCAPPED,2,,
8876,50.0 L,Hilton Cartwright,Australia,Allrounder,CAPPED,4,TRUE,
10449,50.0 L,Mark Adair,Ireland,Allrounder,CAPPED,27,TRUE,
14666,20.0 L,Azim Kazi,India,Allrounder,UNCAPPED,2,,
18509,20.0 L,Nuwan Thushara,Sri Lanka,Allrounder,UNCAPPED,5,TRUE,
8262,20.0 L,Sujit Nayak,India,Allrounder,UNCAPPED,2,,
10918,20.0 L,Parth Sahani,India,Allrounder,UNCAPPED,2,,
694,50.0 L,Manoj Tiwary,India,Allrounder,CAPPED,2,,
13069,20.0 L,Migael Pretorius,South Africa,Allrounder,UNCAPPED,11,TRUE,
8277,50.0 L,Hashmatullah Shahidi,Afghanistan,Batter,CAPPED,96,TRUE,
10953,20.0 L,Mayank Dagar,India,Allrounder,UNCAPPED,2,,
10672,20.0 L,Chaitanya Bishnoi,India,Allrounder,UNCAPPED,2,,
8488,50.0 L,Kurtis Patterson,Australia,Batter,CAPPED,4,TRUE,
10162,40.0 L,Chris Green,Australia,Allrounder,UNCAPPED,4,TRUE,
10973,50.0 L,Zubayr Hamza,South Africa,Batter,CAPPED,11,TRUE,
10939,50.0 L,Avishka Fernando,Sri Lanka,Batter,CAPPED,5,TRUE,
11446,50.0 L,Shamarh Brooks,West Indies,Batter,CAPPED,10,TRUE,
21686,20.0 L,Saurav Chauhan,India,Allrounder,UNCAPPED,2,,
12332,20.0 L,Tajinder Dhillon,India,Allrounder,UNCAPPED,2,,
1610,75.0 L,Darren Bravo,West Indies,Batter,CAPPED,10,TRUE,
10523,20.0 L,Dikshanshu Negi,India,Allrounder,UNCAPPED,2,,
9668,20.0 L,Amit Mishra,India,Allrounder,UNCAPPED,2,,
8949,20.0 L,Akshay Wakhare,India,Allrounder,UNCAPPED,2,,
1905,20.0 L,Abhishek Raut,India,Allrounder,UNCAPPED,2,,
11716,20.0 L,Kushaal Wadhwani,India,Bowler,UNCAPPED,2,,
9398,50.0 L,Raymon Reifer,West Indies,Allrounder,CAPPED,10,TRUE,
10638,20.0 L,KV Sasikanth,India,Allrounder,UNCAPPED,2,,
11680,20.0 L,R Vivek,India,Allrounder,UNCAPPED,2,,
14431,20.0 L,Ruben Trumpelmann,Namibia,Allrounder,CAPPED,161,TRUE,
11641,20.0 L,Sonu Yadav,India,Allrounder,UNCAPPED,2,,
15798,20.0 L,Aaqib Khan ,India,Allrounder,UNCAPPED,2,,
11613,20.0 L,V Athisayaraj Davidson,India,Bowler,UNCAPPED,2,,
13908,20.0 L,Mohit Jangra,India,Allrounder,UNCAPPED,2,,
13100,20.0 L,Ottniel Baartman,South Africa,Bowler,UNCAPPED,11,TRUE,
10570,20.0 L,MB Darshan,India,Bowler,UNCAPPED,2,,
19896,20.0 L,V Gowtham,India,Bowler,UNCAPPED,2,,
15485,20.0 L,Akash Choudhary,India,Allrounder,UNCAPPED,2,,
15564,20.0 L,Khwezi Gumede,South Africa,Bowler,UNCAPPED,11,TRUE,
22141,20.0 L,Gurnoor Brar,India,Allrounder,UNCAPPED,2,,
13613,20.0 L,Liam Guthrie,Australia,Bowler,UNCAPPED,4,TRUE,
8508,2.0 Cr,Ashton Agar,Australia,Allrounder,CAPPED,4,TRUE,
8755,20.0 L,Bandaru Ayyappa,India,Allrounder,UNCAPPED,2,,
10625,20.0 L,Liam Hatcher,Australia,Bowler,UNCAPPED,4,TRUE,
11729,20.0 L,Muralidhara Venkatesh,India,Allrounder,UNCAPPED,2,,
10806,20.0 L,Jay Gokul Bista,India,Allrounder,UNCAPPED,2,,
15616,20.0 L,Dhrushant Soni,India,Allrounder,UNCAPPED,2,,
13509,20.0 L,Sanvir Singh,India,Allrounder,UNCAPPED,2,,
11757,50.0 L,Wes Agar,Australia,Bowler,CAPPED,4,TRUE,
24266,20.0 L,Manish Reddy,India,Bowler,UNCAPPED,2,,
12821,20.0 L,Ravi Sharma,India,Bowler,UNCAPPED,2,,
9954,20.0 L,Shivam Sharma,India,Allrounder,UNCAPPED,2,,
8422,50.0 L,Dasun Shanaka,Sri Lanka,Allrounder,CAPPED,5,TRUE,
8837,50.0 L,Parvez Rasool,India,Allrounder,CAPPED,2,,
11214,75.0 L,Keemo Paul,West Indies,Allrounder,CAPPED,10,TRUE,
8030,50.0 L,Gulbadin Naib,Afghanistan,Allrounder,CAPPED,96,TRUE,
9576,20.0 L,Corbin Bosch,South Africa,Allrounder,UNCAPPED,11,TRUE,
11144,20.0 L,Nathan McAndrew,Australia,Allrounder,UNCAPPED,4,TRUE,
10665,20.0 L,Diwesh Pathania,India,Allrounder,UNCAPPED,2,,
7716,20.0 L,Aniruddha Joshi,India,Allrounder,UNCAPPED,2,,
11315,20.0 L,Shubham Ranjane,India,Allrounder,UNCAPPED,2,,
12625,20.0 L,Sijomon Joseph,India,Allrounder,UNCAPPED,2,,
13126,20.0 L,Tom Rogers,Australia,Allrounder,UNCAPPED,4,TRUE,
9028,20.0 L,Chirag Gandhi,India,Allrounder,UNCAPPED,2,,
9885,20.0 L,JJ Smit,Namibia,Allrounder,UNCAPPED,161,TRUE,
14179,20.0 L,Auqib Nabi,India,Allrounder,UNCAPPED,2,,
10381,20.0 L,Sagar Trivedi,India,Allrounder,UNCAPPED,2,,
12624,20.0 L,Harsh Tyagi,India,Allrounder,UNCAPPED,2,,
14523,20.0 L,Shubhang Hegde,India,Allrounder,UNCAPPED,2,,
