player_id,Mat,Inn,Balls,Runs,Wkt,BBI,BBM,Eco,AVG,5W,10W
265,98,-,-,-,-,-,-,-,-,-,-
7836,20,20,420,579,26,7 / 6,7 / 6,8.27,22.27,1,0
10420,18,18,306,409,16,28 / 3,28 / 3,8.02,25.56,0,0
11813,9,-,-,-,-,-,-,-,-,-,-
6667,38,38,845,948,63,23 / 5,23 / 5,6.73,15.05,2,0
1851,9,-,-,-,-,-,-,-,-,-,-
9783,-,-,-,-,-,-,-,-,-,-,-
6311,6,-,-,-,-,-,-,-,-,-,-
10100,64,63,1298,1576,68,11 / 4,11 / 4,7.29,23.18,0,0
8683,25,24,506,772,33,27 / 4,27 / 4,9.15,23.39,0,0
158,58,49,930,1187,48,15 / 4,15 / 4,7.66,24.73,0,0
75,28,27,612,633,25,12 / 4,12 / 4,6.21,25.32,0,0
413,78,27,349,442,13,6 / 2,6 / 2,7.6,34.0,0,0
242,91,77,1505,2036,78,19 / 4,19 / 4,8.12,26.1,0,0
1597,9,1,12,9,0,9 / 0,9 / 0,4.5,0.0,0,0
1844,1,1,24,28,1,28 / 1,28 / 1,7.0,28.0,0,0
11595,-,-,-,-,-,-,-,-,-,-,-
9603,25,25,500,733,40,19 / 4,19 / 4,8.8,18.32,0,0
11675,-,-,-,-,-,-,-,-,-,-,-
587,60,58,1159,1385,48,15 / 3,15 / 3,7.17,28.85,0,0
6258,30,30,688,829,46,12 / 4,12 / 4,7.23,18.02,0,0
7825,50,2,8,3,0,0 / 0,0 / 0,2.25,0.0,0,0
466,7,7,138,151,4,13 / 2,13 / 2,6.57,37.75,0,0
13483,-,-,-,-,-,-,-,-,-,-,-
9428,42,1,2,2,0,2 / 0,2 / 0,0.0,0.0,0,0
9781,9,8,174,235,8,18 / 4,18 / 4,8.1,29.38,0,0
11307,-,-,-,-,-,-,-,-,-,-,-
10484,-,-,-,-,-,-,-,-,-,-,-
13252,-,-,-,-,-,-,-,-,-,-,-
11427,21,20,428,510,22,8 / 3,8 / 3,7.15,23.18,0,0
8175,17,16,337,482,23,25 / 4,25 / 4,8.58,20.96,0,0
11214,21,21,438,652,24,15 / 5,15 / 5,8.93,27.17,1,0
1447,20,-,-,-,-,-,-,-,-,-,-
8181,8,8,138,185,6,28 / 2,28 / 2,8.04,30.83,0,0
8989,44,23,332,457,13,8 / 2,8 / 2,8.26,35.15,0,0
6534,61,-,-,-,-,-,-,-,-,-,-
