playerId,Player name,Mat,Inn,Runs,Avg,SR,HS,NO,100s,50s,4s,6s
12344.0,Anukul Roy,0,0,0,0,0,0,0,0,0,0,0
6315.0,Aditya Tare,0,0,0,0,0,0,0,0,0,0,0
8182.0,Jayant Yadav,0,0,0,0,0,0,0,0,0,0,0
7915.0,Suryakumar Yadav,19,17,537,38.36,177.23,117,3,1,4,54,29
1601.0,Saurabh Tiwary,0,0,0,0,0,0,0,0,0,0,0
13748.0,Sherfane Rutherford,6,4,43,10.75,119.44,26,0,0,0,1,3
2283.0,James Pattinson,4,2,5,0.0,166.67,5,2,0,0,1,0
11311.0,Krunal Pandya,19,10,124,24.8,130.53,26,5,0,0,8,6
1451.0,Dhawal Kulkarni,2,1,1,0.0,100.0,1,1,0,0,0,0
9311.0,Jasprit Bumrah,58,7,8,4.0,61.54,7,5,0,0,1,0
10947.0,Anmolpreet Singh,0,0,0,0,0,0,0,0,0,0,0
2250.0,Steven Smith,57,45,928,26.51,125.75,90,10,0,4,76,23
14696.0,Akash Singh,0,0,0,0,0,0,0,0,0,0,0
11540.0,Jofra Archer,12,2,19,19.0,190.0,18,1,0,0,2,1
9522.0,Tom Curran,30,13,64,10.67,114.29,14,7,0,0,1,4
13940.0,Yashasvi Jaiswal,0,0,0,0,0,0,0,0,0,0,0
13136.0,Kartik Tyagi,0,0,0,0,0,0,0,0,0,0,0
12627.0,Mayank Markande,1,0,0,0,0,0,0,0,0,0,0
12305.0,Riyan Parag,0,0,0,0,0,0,0,0,0,0,0
8271.0,Sanju Samson,14,13,251,19.31,135.68,77,0,0,1,19,12
6557.0,Ben Stokes,34,28,442,20.09,136.84,47,6,0,0,34,20
11442.0,Oshane Thomas,20,7,9,2.25,60.0,8,3,0,0,2,0
6327.0,"
Jaydev Unadkat",10,0,0,0,0,0,0,0,0,0,0
8358.0,Manan Vohra,0,0,0,0,0,0,0,0,0,0,0
527.0,Robin Uthappa,13,12,249,24.9,118.01,50,2,0,1,26,6
9617.0,Andrew Tye,32,15,83,10.38,109.21,20,7,0,0,5,4
9693.0,Rahul Tewatia,0,0,0,0,0,0,0,0,0,0,0
10919.0,Shashank Singh,0,0,0,0,0,0,0,0,0,0,0
8924.0,Ankit Rajpoot,0,0,0,0,0,0,0,0,0,0,0
6349.0,David Miller,100,87,1882,32.45,141.72,101,29,1,5,124,86
10954.0,Mahipal Lomror,0,0,0,0,0,0,0,0,0,0,0
9746.0,Shreyas Gopal,0,0,0,0,0,0,0,0,0,0,0
2258.0,Jos Buttler,91,83,2162,33.26,141.21,101,18,1,15,186,91
13135.0,Anuj Rawat,0,0,0,0,0,0,0,0,0,0,0
6293.0,Varun Aaron,0,0,0,0,0,0,0,0,0,0,0
1413.0,Virat Kohli,99,91,3308,50.12,137.66,94,25,0,30,299,93
7910.0,Yuzvendra Chahal,62,4,5,2.5,45.45,3,2,0,0,0,0
1643.0,Aaron Finch,92,92,2855,35.25,145.29,172,11,2,17,286,117
10808.0,Mohammed Siraj,5,0,0,0,0,0,0,0,0,0,0
8281.0,Pawan Negi,1,0,0,0,0,0,0,0,0,0,0
74.0,Parthiv Patel,2,2,36,18.0,112.5,26,0,0,0,4,1
9715.0,Navdeep Saini,11,3,12,0.0,109.09,11,3,0,0,2,0
508.0,Dale Steyn,47,12,21,3.5,80.77,5,6,0,0,2,0
10945.0,Washington Sundar,31,11,47,6.71,146.88,14,4,0,0,4,3
8642.0,Adam Zampa,62,14,47,6.71,85.45,13,7,0,0,4,0
1858.0,Umesh Yadav,7,1,2,2.0,50.0,2,0,0,0,0,0
1920.0,Isuru Udana,35,25,256,18.29,137.63,84,11,0,1,16,14
14606.0,Shahbaz Ahmed,0,0,0,0,0,0,0,0,0,0,0
13172.0,Josh Philippe,10,10,138,13.8,109.52,45,0,0,0,8,5
13088.0,Devdutt Padikkal,2,2,38,19.0,100.0,29,0,0,0,2,1
8333.0,Chris Morris,23,13,133,14.78,130.39,55,4,0,1,12,5
8298.0,Gurkeerat Singh Mann,0,0,0,0,0,0,0,0,0,0,0
11195.0,Shivam Dube,13,9,105,17.5,136.36,54,3,0,1,7,6
370.0,AB de Villiers,78,75,1672,26.12,135.17,79,11,0,10,140,60
6692.0,Moeen Ali,52,47,708,19.14,139.64,72,10,0,4,57,36
1739.0,David Warner,91,91,2684,33.55,140.89,100,11,1,22,269,100
12086.0,Abhishek Sharma,0,0,0,0,0,0,0,0,0,0,0
9785.0,Fabian Allen,34,24,267,16.69,136.92,34,8,0,0,15,21
10267.0,Basil Thampi,0,0,0,0,0,0,0,0,0,0,0
1807.0,Shreevats Goswami,0,0,0,0,0,0,0,0,0,0,0
1828.0,Siddarth Kaul,3,0,0,0,0,0,0,0,0,0,0
7906.0,Shahbaz Nadeem,0,0,0,0,0,0,0,0,0,0,0
1836.0,Manish Pandey,39,33,709,44.31,126.16,79,17,0,3,49,19
10738.0,Rashid Khan,61,31,187,11.0,116.88,33,14,0,0,11,11
11631.0,Sanjay Yadav,0,0,0,0,0,0,0,0,0,0,0
9572.0,Billy Stanlake,19,2,9,9.0,75.0,7,1,0,0,0,1
6326.0,Kane Williamson,74,72,2021,32.6,123.84,95,10,0,14,202,46
10213.0,Virat Singh,0,0,0,0,0,0,0,0,0,0,0
8204.0,Vijay Shankar,9,4,101,25.25,138.36,43,0,0,0,11,5
8356.0,Sandeep Sharma,2,1,1,0.0,100.0,1,1,0,0,0,0
1465.0,Wriddhiman Saha,0,0,0,0,0,0,0,0,0,0,0
13113.0,Prithvi Raj,0,0,0,0,0,0,0,0,0,0,0
10225.0,T Natarajan,4,0,0,0,0,0,0,0,0,0,0
3007.0,Mohammad Nabi,90,83,1606,23.97,142.25,89,16,0,4,106,89
8313.0,Jason Holder,37,24,264,16.5,121.1,36,8,0,0,14,16
12089.0,Priyam Garg,0,0,0,0,0,0,0,0,0,0,0
6507.0,Jonny Bairstow,63,57,1190,26.44,135.84,86,12,0,7,111,49
10952.0,Khaleel Ahmed,14,1,1,0.0,100.0,1,1,0,0,0,0
14628.0,Abdul Samad,0,0,0,0,0,0,0,0,0,0,0
1448.0,Cheteshwar Pujara,0,0,0,0,0,0,0,0,0,0,0
9244.0,Lukman Hussain Meriwala,0,0,0,0,0,0,0,0,0,0,0
7990.0,Sam Billings,37,33,478,17.07,129.89,87,5,0,2,41,16
11893.0,Vishnu Vinod,0,0,0,0,0,0,0,0,0,0,0
9443.0,Tim Seifert,40,37,753,23.53,129.83,84,5,0,5,63,37
544.0,Shakib al Hasan,99,97,2010,23.1,120.94,84,10,0,10,201,43
8846.0,Sheldon Jackson,0,0,0,0,0,0,0,0,0,0,0
15861.0,Vaibhav Arora,0,0,0,0,0,0,0,0,0,0,0
8118.0,Ben Cutting,7,5,40,10.0,148.15,29,1,0,0,2,3
10917.0,Venkatesh Iyer,9,7,133,33.25,162.2,35,3,0,0,15,5
7625.0,Adam Milne,31,10,33,33.0,100.0,10,9,0,0,1,1
14565.0,Marco Jansen,1,1,12,12.0,70.59,12,0,0,0,1,1
6660.0,Dawid Malan,39,38,1356,41.09,138.23,103,5,1,12,140,46
10280.0,Jhye Richardson,18,8,45,15.0,88.24,11,5,0,0,3,1
10226.0,Shahrukh Khan,0,0,0,0,0,0,0,0,0,0,0
12226.0,Riley Meredith,5,0,0,0,0,0,0,0,0,0,0
1437.0,Moises Henriques,24,21,355,20.88,124.56,62,4,0,2,17,15
8107.0,Jalaj Saxena,0,0,0,0,0,0,0,0,0,0,0
15480.0,Nathan Ellis,3,1,1,1.0,14.29,1,0,0,0,0,0
9863.0,Mustafizur Rahim,66,22,59,3.93,69.41,15,7,0,0,3,3
9863.0,Mustafizur Rahim,66,22,59,3.93,69.41,15,7,0,0,3,3
9863.0,Mustafizur Rahman,66,22,59,3.93,69.41,15,7,0,0,3,3
9863.0,Mustafizur Rahman,66,22,59,3.93,69.41,15,7,0,0,3,3
13494.0,Chetan Sakariya,2,1,5,0.0,55.56,5,1,0,0,0,0
10045.0,Liam Livingstone,20,16,342,24.43,154.75,103,2,1,0,17,24
13537.0,Kuldip Yadav,0,0,0,0,0,0,0,0,0,0,0
10693.0,Glenn Phillips,37,32,736,28.31,139.39,108,6,1,3,52,39
8709.0,Sachin Baby,0,0,0,0,0,0,0,0,0,0,0
10636.0,Rajat Patidar,0,0,0,0,0,0,0,0,0,0,0
9441.0,Kyle Jamieson,8,4,41,20.5,151.85,30,2,0,0,7,0
12669.0,Suyesh Prabhudessai,0,0,0,0,0,0,0,0,0,0,0
12669.0,Suyesh Prabhudessai,0,0,0,0,0,0,0,0,0,0,0
12669.0,Suyash Prabhudessai,0,0,0,0,0,0,0,0,0,0,0
12669.0,Suyash Prabhudessai,0,0,0,0,0,0,0,0,0,0,0
13169.0,Tim David,11,11,429,47.67,157.72,92,2,0,3,36,22
8393.0,Dushmantha Chameera,50,25,86,6.14,90.53,24,11,0,0,8,1
10926.0,Wanindu Hasaranga,38,32,382,14.69,120.89,71,6,0,1,40,2
1726.0,Bhuvneshwar Kumar,68,16,61,10.17,74.39,16,10,0,0,0,0
13866.0,Sai Sudharshan,0,0,0,0,0,0,0,0,0,0,0
13213.0,Rahmanullah Gurbaz,22,22,568,25.82,132.71,87,0,0,3,42,35
1649.0,Matthew Wade,63,47,828,23.0,128.57,80,11,0,3,61,32
14172.0,Yash Dayal,0,0,0,0,0,0,0,0,0,0,0
1472.0,Pradeep Sangwan,0,0,0,0,0,0,0,0,0,0,0
