playerId,Player name,Mat,Inn_bat,Runs_bat,Avg_bat,SR,HS,NO,100s,50s,4s,6s,Inn_bowl,Balls,Runs_bowl,Wkt,BBI,BBM,Eco,Avg_bowl,5W,10W
12627,Mayank Markande,20,8,27,9.0,93.1,7,5,0,0,3,0,20,360,510,17,23 / 0,23 / 0,8.5,30.0,0,0
12305,Riyan Parag,47,37,522,16.84,124.88,56,6,0,2,40,22,19,157,280,4,7 / -,7 / -,10.7,70.0,0,0
8271,Sanju Samson,138,134,3526,29.14,135.72,119,13,3,17,279,158,0,0,0,0,0,0,0.0,0.0,0,0
6557,Ben Stokes,43,42,920,25.56,134.5,107,6,2,2,79,32,37,683,974,28,15 / 3,15 / 3,8.56,34.79,0,0
11442,Oshane Thomas,4,0,0,0.0,0.0,0,0,0,0,0,0,4,60,79,5,6 / 5,6 / 5,7.9,15.8,0,0
6327,"
Jaydev Unadkat",91,26,164,13.67,123.31,26,14,0,0,13,6,90,1896,2778,91,25 / 3,25 / 3,8.79,30.53,2,0
8358,Manan Vohra,55,50,1073,22.35,131.17,95,2,0,3,103,43,0,0,0,0,0,0,0.0,0.0,0,0
527,Robin Uthappa,205,197,4952,27.51,130.35,88,17,0,27,481,182,0,0,0,0,0,0,0.0,0.0,0,0
9617,Andrew Tye,30,13,91,10.11,119.74,25,4,0,0,6,5,30,684,979,42,17 / 4,17 / 4,8.59,23.31,1,0
9693,Rahul Tewatia,64,46,738,25.45,130.39,53,17,0,1,57,35,50,830,1096,32,18 / -,18 / -,7.92,34.25,0,0
10919,Shashank Singh,10,5,69,17.25,146.81,25,1,0,0,5,4,2,12,20,0,10 / -,10 / -,10.0,0.0,0,0
8924,Ankit Rajpoot,29,7,26,5.2,63.41,8,2,0,0,2,1,29,529,814,24,14 / -,14 / -,9.23,33.92,1,0
6349,David Miller,105,102,2455,36.64,137.69,101,35,1,12,169,113,0,0,0,0,0,0,0.0,0.0,0,0
10954,Mahipal Lomror,18,15,267,20.54,128.37,47,2,0,0,15,13,8,72,92,1,22 / -,22 / -,7.67,92.0,0,0
9746,Shreyas Gopal,49,22,180,12.86,106.51,24,8,0,0,19,2,48,949,1281,49,16 / -,16 / -,8.1,26.14,0,0
2258,Jos Buttler,82,81,2831,39.87,149.71,124,10,5,15,277,135,0,0,0,0,0,0,0.0,0.0,0,0
13135,Anuj Rawat,10,9,129,14.33,108.4,66,0,0,1,10,7,0,0,0,0,0,0,0.0,0.0,0,0
6293,Varun Aaron,52,13,50,10.0,69.44,17,8,0,0,2,2,50,994,1481,44,16 / -,16 / -,8.94,33.66,0,0
1413,Virat Kohli,223,215,6624,36.2,129.15,113,32,5,44,578,218,26,251,368,4,25 / 1,25 / 1,8.8,92.0,0,0
7910,Yuzvendra Chahal,131,20,37,5.29,43.02,8,13,0,0,0,0,130,2856,3624,166,40 / 6,40 / 6,7.61,21.83,1,0
1643,Aaron Finch,92,90,2091,24.89,128.2,88,6,0,15,214,78,5,43,67,1,11 / 0,11 / 0,9.35,67.0,0,0
10808,Mohammed Siraj,65,20,96,13.71,88.07,14,13,0,0,10,2,65,1334,1951,59,32 / 1,32 / 1,8.78,33.07,0,0
8281,Pawan Negi,50,35,365,14.04,126.3,36,9,0,0,27,16,42,716,939,34,18 / 1,18 / 1,7.87,27.62,0,0
74,Parthiv Patel,139,137,2848,22.6,120.78,81,11,0,13,365,49,0,0,0,0,0,0,0.0,0.0,0,0
9715,Navdeep Saini,30,7,33,8.25,89.19,12,3,0,0,3,0,30,622,900,20,24 / 3,24 / 3,8.68,45.0,0,0
508,Dale Steyn,95,37,167,7.59,104.38,19,15,0,0,14,3,95,2176,2508,97,8 / 4,8 / 4,6.92,25.86,0,0
10945,Washington Sundar,51,33,318,14.45,120.45,40,11,0,0,26,9,49,918,1106,33,16 / 3,16 / 3,7.23,33.52,0,0
8642,Adam Zampa,14,2,5,2.5,62.5,5,0,0,0,1,0,14,287,370,21,19 / 5,19 / 5,7.74,17.62,1,0
1858,Umesh Yadav,133,45,177,9.83,105.36,24,27,0,0,15,8,132,2810,3918,135,23 / 2,23 / 2,8.37,29.02,0,0
1920,Isuru Udana,10,4,15,5.0,136.36,10,1,0,0,1,1,10,174,282,8,41 / 3,41 / 3,9.72,35.25,0,0
14606,Shahbaz Ahmed,29,19,279,18.6,118.72,45,4,0,0,18,11,22,330,472,13,7 / -,7 / -,8.58,36.31,0,0
13172,Josh Philippe,5,5,78,19.5,101.3,33,1,0,0,9,1,0,0,0,0,0,0,0.0,0.0,0,0
13088,Devdutt Padikkal,46,46,1260,28.0,124.38,101,1,1,7,135,36,0,0,0,0,0,0,0.0,0.0,0,0
8333,Chris Morris,81,51,618,22.07,155.28,82,23,0,2,41,35,81,1720,2295,95,23 / 4,23 / 4,8.01,24.16,0,0
8298,Gurkeerat Singh Mann,41,32,511,21.29,121.09,65,8,0,2,55,11,6,78,97,5,15 / -,15 / -,7.46,19.4,0,0
11195,Shivam Dube,35,33,688,24.57,133.33,95,5,0,3,46,38,13,106,166,4,15 / 3,15 / 3,9.4,41.5,0,0
370,AB de Villiers,184,170,5162,39.71,151.69,133,40,3,40,413,251,0,0,0,0,0,0,0.0,0.0,0,0
6692,Moeen Ali,44,42,910,23.33,143.99,93,3,0,5,76,53,37,554,627,24,7 / 3,7 / 3,6.79,26.12,0,0
1739,David Warner,162,162,5881,42.01,140.69,126,22,4,55,578,215,1,1,2,0,2 / -,2 / -,0.0,0.0,0,0
12086,Abhishek Sharma,36,34,667,23.82,135.29,75,6,0,2,64,25,17,156,214,7,4 / -,4 / -,8.23,30.57,0,0
9785,Fabian Allen,5,4,14,7.0,73.68,8,2,0,0,1,0,4,90,136,2,22 / 2,22 / 2,9.07,68.0,0,0
10267,Basil Thampi,25,8,32,32.0,91.43,13,7,0,0,1,1,25,521,846,22,29 / -,29 / -,9.74,38.45,0,0
1807,Shreevats Goswami,31,21,293,14.65,99.32,52,1,0,1,32,3,0,0,0,0,0,0,0.0,0.0,0,0
1828,Siddarth Kaul,55,12,20,5.0,55.56,7,8,0,0,1,0,55,1209,1739,58,29 / 2,29 / 2,8.63,29.98,0,0
7906,Shahbaz Nadeem,72,22,39,2.79,44.83,6,8,0,0,2,0,70,1415,1784,48,16 / -,16 / -,7.56,37.17,0,0
1836,Manish Pandey,160,149,3648,29.9,121.52,114,27,1,21,317,105,0,0,0,0,0,0,0.0,0.0,0,0
10738,Rashid Khan,92,43,313,11.18,151.94,40,15,0,0,20,22,92,2195,2333,112,24 / 5,24 / 5,6.38,20.83,0,0
