playerId,Player name,2022,2021,2020,2019,2018,2017,2016,2015,2014
9311,Jasprit Bumrah,120.0,70.0,70.0,70.0,70.0,12.0,12.0,12.0,12.0
10947,Anmolpreet Singh,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
2250,Steven Smith,0.0,22.0,125.0,125.0,125.0,40.0,40.0,40.0,40.0
14696,Akash Singh,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11540,Jofra Archer,72.0,72.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0
13940,Yashasvi Jaiswal,40.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
13136,Kartik Tyagi,40.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
12627,Mayank Markande,20.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
12305,Riyan Parag,38.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8271,Sanju Samson,140.0,80.0,80.0,80.0,80.0,42.0,42.0,40.0,40.0
11442,Oshane Thomas,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6327,"
Jaydev Unadkat",30.0,30.0,84.0,115.0,3.0,16.0,11.0,28.0,28.0
8358,Manan Vohra,2.0,2.0,2.0,11.0,40.0,40.0,40.0,40.0,40.0
527,Robin Uthappa,20.0,30.0,30.0,64.0,64.0,50.0,50.0,50.0,50.0
9617,Andrew Tye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9693,Rahul Tewatia,90.0,30.0,30.0,30.0,30.0,2.5,0.0,1.0,1.0
10919,Shashank Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8924,Ankit Rajpoot,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6349,David Miller,0.0,7.5,7.5,30.0,30.0,125.0,125.0,125.0,125.0
10954,Mahipal Lomror,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
9746,Shreyas Gopal,7.5,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
2258,Jos Buttler,100.0,44.0,44.0,44.0,44.0,38.0,38.0,0.0,0.0
13135,Anuj Rawat,34.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
6293,Varun Aaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1413,Virat Kohli,150.0,170.0,170.0,170.0,170.0,125.0,125.0,125.0,125.0
7910,Yuzvendra Chahal,65.0,60.0,60.0,60.0,60.0,1.0,1.0,1.0,1.0
1643,Aaron Finch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10808,Mohammed Siraj,70.0,26.0,26.0,26.0,26.0,26.0,0.0,0.0,0.0
8281,Pawan Negi,5.0,10.0,10.0,10.0,10.0,85.0,1.0,1.0,1.0
9715,Navdeep Saini,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
10945,Washington Sundar,87.5,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0
8642,Adam Zampa,0.0,15.0,15.0,0.0,0.0,3.0,3.0,0.0,0.0
1858,Umesh Yadav,0.0,10.0,42.0,42.0,42.0,26.0,26.0,26.0,26.0
1920,Isuru Udana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14606,Shahbaz Ahmed,24.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13172,Josh Philippe,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13088,Devdutt Padikkal,77.5,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8298,Gurkeerat Singh Mann,0.0,5.0,5.0,7.5,13.0,13.0,13.0,13.0,13.0
11195,Shivam Dube,44.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
6692,Moeen Ali,80.0,70.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0
1739,David Warner,62.5,125.0,125.0,125.0,0.0,55.0,55.0,55.0,55.0
12086,Abhishek Sharma,65.0,5.5,5.5,5.5,5.5,0.0,0.0,0.0,0.0
9785,Fabian Allen,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10267,Basil Thampi,3.0,9.5,9.5,9.5,9.5,8.5,0.0,0.0,0.0
1807,Shreevats Goswami,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
1828,Siddarth Kaul,38.0,38.0,38.0,38.0,1.0,1.0,1.0,4.5,4.5
7906,Shahbaz Nadeem,32.0,32.0,32.0,32.0,8.5,8.5,8.5,8.5,8.5
1836,Manish Pandey,46.0,110.0,110.0,110.0,110.0,17.0,17.0,17.0,17.0
