player_id,Mat,Inn,Runs,Avg,SR,HS,NO,100s,50s,4s,6s
10213,3,2,15,7.5,57.69,11,0,0,0,1,0
8204,51,43,731,23.58,122.04,63,12,0,3,46,28
8356,104,25,52,8.67,81.25,9,19,0,0,4,0
1465,144,119,2427,25.28,127.87,115,23,1,11,231,76
13113,2,1,0,0.0,0.0,0,1,0,0,0,0
10225,35,4,3,0.0,60.0,3,4,0,0,0,0
3007,17,14,180,15.0,151.26,31,2,0,0,16,9
8313,38,24,247,13.0,124.12,47,5,0,0,13,17
12089,21,17,251,15.69,115.14,51,1,0,1,15,9
6507,39,39,1291,35.86,142.65,114,3,1,9,133,55
10952,34,5,1,0.2,14.29,1,0,0,0,0,0
14628,25,20,226,14.12,142.14,33,4,0,0,12,14
1448,30,22,390,20.53,99.74,51,3,0,1,50,4
9244,1,-,-,-,-,-,-,-,-,-,-
7990,30,27,503,19.35,129.64,56,1,0,3,40,20
10484,3,1,7,0.0,53.85,7,1,0,0,0,0
11893,3,3,19,6.33,73.08,9,0,0,0,1,1
9443,3,3,26,8.67,113.04,21,0,0,0,4,0
544,71,52,793,19.82,124.49,66,12,0,2,73,21
8846,9,8,61,10.17,107.02,16,2,0,0,5,1
15861,5,4,5,2.5,38.46,2,2,0,0,0,0
8118,21,17,238,21.64,168.79,39,6,0,0,15,19
10917,22,22,552,27.6,120.79,67,2,0,5,54,21
7625,10,6,23,5.75,79.31,15,2,0,0,0,1
14565,10,5,9,3.0,90.0,8,2,0,0,0,1
6660,1,1,26,26.0,100.0,26,0,0,0,1,1
10280,3,2,15,7.5,62.5,15,0,0,0,2,0
10226,19,18,270,19.29,121.62,47,4,0,0,13,19
12226,13,2,0,0.0,0.0,0,2,0,0,0,0
1437,62,54,1000,27.78,126.9,74,18,0,5,87,28
8107,1,-,-,-,-,-,-,-,-,-,-
15480,5,3,18,9.0,100.0,12,1,0,0,0,1
9863,46,8,12,12.0,54.55,8,7,0,0,0,1
13494,17,6,16,3.2,64.0,7,1,0,0,2,0
10045,23,23,549,27.45,166.87,70,3,0,4,38,40
13537,1,1,0,0.0,0.0,0,1,0,0,0,0
10693,3,3,26,13.0,78.79,14,1,0,0,1,2
8709,19,11,144,16.0,122.03,33,2,0,0,11,5
10636,12,11,404,40.4,144.29,112,1,1,2,30,21
9441,9,7,65,16.25,118.18,16,3,0,0,5,3
12669,5,5,67,13.4,113.56,34,0,0,0,7,2
13169,9,9,187,31.17,210.11,46,3,0,0,12,16
8393,12,8,43,10.75,153.57,17,4,0,0,3,3
10926,18,9,39,4.88,86.67,18,1,0,0,4,1
1726,146,57,241,8.31,96.4,24,28,0,0,23,3
13866,5,5,145,36.25,127.19,65,1,0,1,14,3
13213,-,-,-,-,-,-,-,-,-,-,-
1649,13,13,179,13.77,104.68,35,0,0,0,23,2
14172,9,1,0,0.0,0.0,0,0,0,0,0,0
1472,42,15,26,3.25,59.09,6,7,0,0,1,0
11220,12,5,20,20.0,100.0,15,4,0,0,2,0
11595,5,-,-,-,-,-,-,-,-,-,-
15452,-,-,-,-,-,-,-,-,-,-,-
13750,-,-,-,-,-,-,-,-,-,-,-
9838,7,7,252,42.0,145.66,87,1,0,3,22,12
18504,9,2,7,7.0,100.0,7,1,0,0,0,1
16458,2,-,-,-,-,-,-,-,-,-,-
13184,13,2,6,6.0,100.0,4,1,0,0,1,0
12805,2,-,-,-,-,-,-,-,-,-,-
8651,6,5,44,11.0,157.14,22,1,0,0,3,3
11445,14,12,250,25.0,149.7,67,2,0,1,10,22
9863,46,8,12,12.0,54.55,8,7,0,0,0,1
6250,29,23,476,22.67,123.32,89,2,0,2,28,28
12813,1,1,4,4.0,50.0,4,0,0,0,1,0
9624,3,3,21,7.0,70.0,15,0,0,0,2,0
1057,52,20,120,9.23,112.15,36,7,0,0,8,4
9500,-,-,-,-,-,-,-,-,-,-,-
8579,27,26,654,27.25,137.11,65,2,0,4,62,36
8440,-,-,-,-,-,-,-,-,-,-,-
18738,1,1,4,4.0,100.0,4,0,0,0,1,0
13907,13,11,161,20.12,123.85,54,3,0,1,11,7
14504,14,14,397,36.09,131.02,61,3,0,2,29,16
12337,5,4,45,22.5,112.5,14,2,0,0,3,1
20538,7,7,161,23.0,142.48,49,0,0,0,14,11
14190,4,1,3,3.0,60.0,3,0,0,0,0,0
7860,10,5,8,2.0,57.14,6,1,0,0,0,1
14595,5,3,43,21.5,89.58,25,1,0,0,5,0
11054,1,1,4,0.0,400.0,4,1,0,0,1,0
